,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,UnitsCO,Boro,BIN,BBL,AddressNum,AddressSt,Occ_Init,Occ_Prop,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock10,BCTCB2010,BCT2010,NTA2010,NTAName10,PUMA2010,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,Latitude,Longitude,GeomSource,DCPEdited,Version
32450,321952847,Demolition,Residential, ,3. Permitted for Construction, ,2020,2.0,0.0,-2.0, , , , ,0.0,3,3082997,3036390032,641,WATKINS STREET,Residential: 1-2 Family Houses (J-3), ,"FULL DEMOLITION OF TWO STORY STRUCTURE, UNDER HPD &amp; DOB EMERGENCY DECLARATION OMO#DJ00422.  STRUCTURE WILL BE DEMOLISHED WITH HAND HELD EQUIPMENT, AND MECHANICAL MEANS.",2019-08-20,1/8/2020 0:00:00,2020-01-08,,R6, , , , , ,2.0,0.0, ,"Government, City: City Agency",360470922001002,30922001002,3092200,BK81,Brownsville,4007,316,42,23_1,23,47,241,E257,58,15,73, , ,40.6564603741,-73.9042428546,BIN DOB buildingfootprints, ,20Q4
32455,321953374,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,2.0,0.0, , , , ,0.0,3,3117826,3051290044,929,ROGERS AVENUE,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),APPLICATION FILED HEREWITH FOR PROPOSED PARKING AND AREA DRAINS PER PLANS. OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,2019-04-16,11/24/2020 0:00:00,2020-11-24,,R6, , , , , ,2.0,2.0, ,Private For-Profit: Partnership,360470824003004,30824003004,3082400,BK95,Erasmus,4010,317,40,17_3,17,150,260,E248,41,15,67, , ,40.647668526,-73.9519221084,BIN DOB buildingfootprints, ,20Q4
32461,321954328,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,2.0,1.0, , , , ,0.0,3,3190764,3070930027,2052,WEST   12 STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),"ALTERATION TYPE I CONVERT EXISTING ONE FAMILY FAMILY DWELLING AS PER HPD #393786 TO TWO FAMILY DWELLING. HORIZONTAL AND ONE STORY VERTICAL ENLARGEMENT. INTERIOR RENOVATION. NEW PLUMBING, MECHANICAL AND SPRINKLER WORK. INCREASE IN BULK AND FAR. CHANGE IN",2019-04-10,7/2/2020 0:00:00,2020-12-08,,R4-1, , , , , ,2.0,2.0,Horizontal and Vertical,Private For-Profit: Individual,360470402002001,30402002001,3040200,BK29,Bensonhurst East,4017,311,47,21_2,21,135,192,L161,43,8,62, , ,40.5968638325,-73.9835659906,BIN DOB buildingfootprints, ,20Q4
32464,321954738,Demolition,Residential, ,5. Completed Construction,2020,2020,2.0,0.0,-2.0, , , , ,0.0,3,3175944,3066330048,1881,MCDONALD AVENUE,Residential: 1-2 Family Houses (J-3), ,FULL DEMOLITION OF EXISTING HOUSE.,2019-06-05,8/18/2020 0:00:00,2020-10-15,8/18/2020 0:00:00,R5, , ,OP, , ,2.0,0.0, ,Private For-Profit: Corporation,360470422003002,30422003002,3042200,BK25,Homecrest,4016,315,44,21_3,21,139,192,L153,33,15,61, , ,40.6070382339,-73.9723525332,BIN DOB buildingfootprints, ,20Q4
32469,321955185,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,5.0,3.0, , , , ,0.0,3,3139909,3056870014,918,56 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),TO CONVERT TWO FAMILIES TO FIVE FAMILIES WITH CONSTRUCTION &amp; PLUMBING WORKS AS PER PLAN.  OBTAINING NEW CERTIFICATE OF OCCUPANCY.,2019-04-12,10/17/2020 0:00:00,2020-10-17,,R6, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470116002001,30116002001,3011600,BK88,Borough Park,4014,312,38,20_1,20,226,219,E247,40,8,66, , ,40.6359755679,-74.0046383762,BIN DOB buildingfootprints, ,20Q4
32474,321955318,Alteration,Residential, ,3. Permitted for Construction, ,2020,3.0,3.0,0.0, , , , ,0.0,3,3129992,3054740053,1869,53 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),VERTICAL ENLARGEMENT NEW THIRD FLOOR TO EXISTING 2 STORY AND CELLAR BUILDING,2019-04-12,10/19/2020 0:00:00,2020-10-19,,R5, , , , , ,2.0,3.0, ,Private For-Profit: Individual,360470472002001,30472002001,3047200,BK88,Borough Park,4014,312,44,21_3,21,141,202,E247,40,8,66, , ,40.6251402671,-73.9814055068,BIN DOB buildingfootprints, ,20Q4
32478,321955942,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,1.0,-1.0, , , , ,0.0,3,3212556,3077110021,1739,BURNETT STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),RENOVATE AND COMBINE 1737 AND 1739 BURNETT STREET INTO A ONE FAMILY DWELLING. HORIZONTAL ENLARGEMENT.,2020-02-19,11/6/2020 0:00:00,2020-11-06,,R3-2, , , ,MS4, ,2.0,2.0, ,Private For-Profit: Individual,360470640002001,30640002001,3064000,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,318,46,22_2,22,9,204,E309,33,15,63, , ,40.6101902054,-73.9416146502,BIN DOB buildingfootprints, ,20Q4
32479,321956362,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3206522,3075820013,1755,BROOKLYN AVENUE,Empty Site,Residential: 3 or More Units (R-2),"NEW BUILDING 4 STORY, 8 FAMILY",2019-04-16,8/11/2020 0:00:00,2020-08-11,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Individual,360470776003005,30776003005,3077600,BK58,Flatlands,4009,318,45,22_1,22,790,234,L157,41,15,63, , ,40.6302450269,-73.9412891788,BIN DOB buildingfootprints, ,20Q4
32487,321956692,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3323731,3005780030,6,DIKEMAN STREET,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),400 SF. COMMERCIAL ADDTION TO EXISTING RESIDENTIAL BUILDING AND 783 SF CONVERSION AT EXISTING ACCESSROY RESIDENTIAL GARAGE TO COMMERCIAL OFFICES.,2019-04-17,9/3/2020 0:00:00,2020-09-03,,M1-1, , , ,IBZ, ,2.0,2.0, ,Private For-Profit: Individual,360470053004002,30053004002,3005300,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,306,38,15_3,15,100,280,L101,32,11,76,1,1,40.6746369069,-74.0101326869,BIN DOB buildingfootprints, ,20Q4
32488,321956852,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3200538,3073710020,2226,EAST   12 STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),TWO STORY HORIZONTAL ENLARGEMENT IN REAR. NEW INTERIOR RENOVATION.PLUMBING &amp; MECHANICAL WORK TO BE FILED UNDER SEPARATE APPLICATION. INCREASE IN BULK AND FAR. NO CHANGE IN USE OR OCCUPANCY.,2019-04-17,10/13/2020 0:00:00,2020-10-13,,R4, , , , , ,2.0,2.0, ,Private For-Profit: Individual,360470584002001,30584002001,3058400,BK25,Homecrest,4016,315,48,21_2,21,138,189,E246,43,8,61, , ,40.5955162008,-73.9599553518,BIN DOB buildingfootprints, ,20Q4
32491,321957209,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,2.0,1.0, , , , ,0.0,3,3099278,3045930048,102,EAST   91 STREET,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),CONVERT EXISTING 1-FAMILY TO 2-FAMILY.  CONVERT GARAGE TO LIVABLE SPACE. PROVIDE PARKING TO OSP IN FRONT OF GARAGE AND RESOLVE ECB VIOLATION 34436837K.,2019-04-18,8/26/2020 0:00:00,2020-12-30,,R6, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470880001000,30880001000,3088000,BK60,Prospect Lefferts Gardens-Wingate,4011,317,41,17_2,17,163,271,L174,58,15,67, , ,40.6616921464,-73.9288967394,BIN DOB buildingfootprints, ,20Q4
32493,321957487,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,4.0,2.0, , , , ,0.0,3,3016061,3008560024,548,58 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),"HORIZONTAL EXTENSION. RENOVATION OF AN EXISTING BUILDING AT CELLAR, BAS, 1ST AND 2ND FLOOR. INSTALL NEW PLUMBING FIXTURES. OBTAIN NEW C OF O FOR 4 DWELLING UNITS.",2019-04-18,1/21/2020 0:00:00,2020-01-22,,R6B, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470102002000,30102002000,3010200,BK34,Sunset Park East,4012,307,38,20_1,20,225,224,L114,40,8,72, , ,40.6397566234,-74.0138987338,BIN DOB buildingfootprints, ,20Q4
32522,321959001,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,7.0,6.0, , , , ,0.0,3,3039665,3014810052,849,MADISON STREET,Residential: 3 or More Units (J-2),Residential: 3 or More Units (R-2),PROPOSED VERTICAL AND HORIZONTAL EXTENSION OF AN EXISTING 2 STORY BUILDING TO CREATE A 4 STORY AND PENTHOUSE RESIDENTIAL BUILDING FILED AS A MAJOR ALTERATION TO MEET NEW BUILDING CODE REQUIREMENTS,2019-05-28,3/11/2020 0:00:00,2020-06-30,,R6B, , , ,MIH, ,2.0,4.0,Horizontal and Vertical,Private For-Profit: Partnership,360470375002005,30375002005,3037500,BK35,Stuyvesant Heights,4003,303,41,16_2,16,76,293,E222,37,15,81, , ,40.6881580514,-73.9221268783,BIN DOB buildingfootprints, ,20Q4
32523,321959038,Demolition,Residential, ,5. Completed Construction,2020,2020,1.0,0.0,-1.0, , , , ,0.0,3,3181464,3067540043,1492,EAST   17 STREET,Residential: 1-2 Family Houses (R-3), ,IMMEDIATE EMERGENCY DECLARATION PROPOSE FULL DEMOLITION OF RESIDENTIAL HOUSE,2019-06-27,2/11/2020 0:00:00,2020-02-14,2/11/2020 0:00:00,R4-1,R5B, , , , ,2.0,0.0, ,Private For-Profit: Individual,360470544003001,30544003001,3054400,BK43,Midwood,4015,314,48,21_3,21,145,188,E276,33,15,70, , ,40.6137427452,-73.957615292,BIN DOB buildingfootprints, ,20Q4
32530,321959494,Demolition,Residential, ,3. Permitted for Construction, ,2020,2.0,0.0,-2.0, , , , ,0.0,3,3157093,3061670059,1345,71 STREET,Residential: 1-2 Family Houses (J-3), ,SUPERSEDE APPLICANT OF RECORD AND ADD ACP5 CONTROL NUMBER.,2019-08-22,8/17/2020 0:00:00,2020-08-17,,R5B, , , , , ,2.0,0.0, ,Private For-Profit: Individual,360470196002003,30196002003,3019600,BK30,Dyker Heights,4013,310,43,20_2,20,223,217,E284,42,8,68, , ,40.6220164894,-74.0037395856,BIN DOB buildingfootprints, ,20Q4
32531,321959591,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,4.0,4.0, , , , ,0.0,3,3067537,3026980037,67,ENGERT AVENUE,Storage: Low Hazard (B-2),Residential: 3 or More Units (R-2),PROPOSED ENLARGEMENT TO EXISTING 2 STORY WAREHOUSE BUILDING. CONVERT TO WAREHOUSE AND 4 UNIT BUILDING. PARTITIONS AS PER PLAN.,2019-08-02,2/3/2020 0:00:00,2020-02-03,,M1-2/R6A, , ,MX-8,GW, ,2.0,3.0, ,Private For-Profit: Corporation,360470499001003,30499001003,3049900,BK76,Greenpoint,4001,301,33,14_3,14,45,403,E229,35,11,94, , ,40.7215692441,-73.9481308858,BIN DOB buildingfootprints, ,20Q4
32533,321959742,Demolition,Residential, ,3. Permitted for Construction, ,2020,3.0,0.0,-3.0, , , , ,0.0,3,3072209,3031710028,78,JEFFERSON STREET,Residential: 1-2 Family Houses (J-3), ,DEMOLITION OF A THREE STORY HOUSE,2019-06-06,2/18/2020 0:00:00,2020-02-18,,R6, , , , , ,3.0,0.0, ,Private For-Profit: Individual,360470391002003,30391002003,3039100,BK78,Bushwick South,4002,304,34,32_2,32,78,302,E218,28,11,83, , ,40.6988810811,-73.9322926621,BIN DOB buildingfootprints, ,20Q4
32540,321960570,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3243328,3086250007,218,MAYFAIR DRIVE NORTH,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),"PROPOSED VERTICAL AND HORIZONTAL ENLARGEMENT TO EXISTING ONE FAMILY HOUSE. INTERIOR LAYOUT ALTERATION,PLUMBING WORK AS PER PLAN.ACCESSORY USE SWIMMING POOL. OBTAINING CERTIFICATE OF OCCUPANCY",2019-05-31,1/3/2020 0:00:00,2020-08-04,,R2, , , , , ,1.0,2.0,Horizontal and Vertical,Private For-Profit: Individual,360470702012003,30702012003,3070201,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,318,46,22_2,22,26,205,E323,58,15,63, ,1,40.6114720793,-73.9058040746,BIN DOB buildingfootprints, ,20Q4
32543,321961515,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,2.0,0.0, , , , ,0.0,3,3052860,3018400079,251,HALSEY STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),"APPLICATION FILED TO PROPOSE INTERIOR RENOVATION, REAR EXTENSION AND PROPOSED NEW BULKHEAD. OBTAIN NEW CERTIFICATE OF OCCUPANCY.",2019-05-31,2/6/2020 0:00:00,2020-02-06,,R6B, , , , , ,4.0,4.0,Horizontal and Vertical,Private For-Profit: Corporation,360470267004000,30267004000,3026700,BK75,Bedford,4003,303,36,13_3,13,239,286,E235,57,11,79, , ,40.6828092608,-73.9430311148,BIN DOB buildingfootprints, ,20Q4
32545,321961542,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,1.0,-1.0, , , , ,0.0,3,3027445,3011160168,571,PROSPECT AVENUE,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),CONVERT FROM TWO TO ONE FAMILY. RENOVATE RESIDENCE. NEW WINDOWS AND REAR PORCH.,2020-02-03,3/13/2020 0:00:00,2020-03-13,,R5B, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470171003000,30171003000,3017100,BK40,Windsor Terrace,4012,307,39,15_2,15,105,277,E240,48,11,72, , ,40.6571677828,-73.9785021823,BIN DOB buildingfootprints, ,20Q4
32547,321961604,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,2.0,0.0, , , , ,0.0,3,3053012,3018430033,19,MACON STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),"INTERIOR AND EXTERIOR RENOVATION OF EXISTING 2 FAMILY TOWNHOUSE. DWELLING UNITS WILL BE RECONFIGURED.    ARCHITECTURAL/ CONSTRUCTION, PLUMBING. AMENDED CERTIFICATES OF OCCUPANCY TO BE ISSUED.",2019-06-04,7/15/2020 0:00:00,2020-09-02,,R6B, , , , ,Yes,4.0,4.0, ,Private For-Profit: Individual,360470245004000,30245004000,3024500,BK75,Bedford,4003,303,36,13_3,13,237,286,E235,57,11,79, , ,40.6811587212,-73.9503734764,BIN DOB buildingfootprints, ,20Q4
32548,321961668,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,1.0,1.0, , , , ,0.0,3,3126393,3053790060,1665,44 STREET,Empty Site,Residential: 1-2 Family Houses (R-3),"PROPOSED DETACHED 3 STORY, 1 FAMILY BUILDING",2019-06-24,2/5/2020 0:00:00,2020-02-05,,R5, , , , , ,0.0,3.0, ,Private For-Profit: Corporation,360470478002003,30478002003,3047800,BK88,Borough Park,4014,312,44,20_3,20,230,219,L148,48,11,66, , ,40.6329690702,-73.9808018637,BIN DOB buildingfootprints, ,20Q4
32551,321961944,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3193010,3071320055,2219,EAST    5 STREET,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),"ALTERATION 1TO PROPOSE A HORIZONTAL AND VERTICAL ENLARGEMENT INCLUDING INTERIOR AND EXTERIOR RENOVATION OF ENTIRE EXISTING TWO STORY, ATTIC AND CELLAR ONE FAMILY RESIDENCE",2019-06-04,7/28/2020 0:00:00,2020-07-28,,R4, , ,OP, , ,2.0,3.0,Horizontal and Vertical,Private For-Profit: Individual,360470394003003,30394003003,3039400,BK25,Homecrest,4016,315,47,21_2,21,137,192,E254,33,15,61, , ,40.5962725655,-73.9663564818,BIN DOB buildingfootprints, ,20Q4
32553,321962220,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,3.0,1.0, , , , ,0.0,3,3016106,3008560071,513,59 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),INTERIOR RENOVATIONS ON EXISTING 3 STORY 2 FAMILY DWELLING UNITS WITH CELLAR AND CONVERT TO 3 FAMILY DWELLING. OBTAIN NEW C OF O.,2019-06-26,11/18/2020 0:00:00,2020-12-17,,R6B, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470102002000,30102002000,3010200,BK34,Sunset Park East,4012,307,38,20_1,20,225,224,L114,40,8,72, , ,40.6399369452,-74.0150039868,BIN DOB buildingfootprints, ,20Q4
32554,321962514,Alteration,Residential, ,3. Permitted for Construction, ,2020,3.0,2.0,-1.0, , , , ,0.0,3,3001818,3002350071,178,HICKS STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),"FILING ALT-1 FOR CONVERSION OF THREE FAMILY HOME TO A TWO FAMILY HOME. ARCHITECTURAL PROPOSED AS PER PLANS, A NEW CERTIFICATE OF OCCUPANCY WILL BE OB TAINED.CERTIFICATE OF OCCUPANCY WILL BE OBTAINED.",2019-06-04,3/4/2020 0:00:00,2020-03-11,,R6, , ,LH-1, ,Yes,5.0,5.0, ,Private For-Profit: Corporation,360470003012001,30003012001,3000301,BK09,Brooklyn Heights-Cobble Hill,4004,302,33,13_2,13,250,291,E205,32,11,84, , ,40.6962779954,-73.9955857599,BIN DOB buildingfootprints, ,20Q4
32557,321962738,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,9.0,9.0, , , , ,0.0,3,3115264,3050360053,285,RUTLAND ROAD,Empty Site,Residential: 3 or More Units (R-2),"NEW FOUR STORY, CELLAR AND PENTHOUSE RESIDENTIAL BUILDING",2019-06-28,9/24/2020 0:00:00,2020-12-30,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Individual,360470800003001,30800003001,3080000,BK60,Prospect Lefferts Gardens-Wingate,4011,309,40,17_2,17,165,265,E249,38,15,71, , ,40.6595327403,-73.9512844436,BIN DOB buildingfootprints, ,20Q4
32560,321962970,Alteration,Residential, ,3. Permitted for Construction, ,2020,8.0,8.0,0.0, , , , ,0.0,3,3051972,3018280089,193,JEFFERSON AVENUE,Residential: 3 or More Units (J-2),Residential: 3 or More Units (R-2),"INTERIOR RENOVATION  ON EXISTING APARTMENT 1C ON FIRST FLOOR ,MAKE CELLAR ACCESSORY USE TO APARTMENT.",2019-07-17,2/6/2020 0:00:00,2020-02-06,,R6A,R6B, , , ,Yes,4.0,4.0, ,Private For-Profit: Corporation,360470249002000,30249002000,3024900,BK75,Bedford,4003,303,36,13_3,13,240,286,E235,57,11,79, , ,40.6835318437,-73.9497657956,BIN DOB buildingfootprints, ,20Q4
32562,321963014,Demolition,Residential, ,5. Completed Construction,2020,2020,1.0,0.0,-1.0, , , , ,0.0,3,3253458,3061330057,9952,3 AVENUE,Residential: 1-2 Family Houses (J-3), ,FULL DEMOLITION OF EXISTING HOUSE.,2019-09-10,6/17/2020 0:00:00,2020-07-13,6/17/2020 0:00:00,R7A, , ,BR, , ,2.0,0.0, ,Private For-Profit: Corporation,360470056021001,30056021001,3005602,BK31,Bay Ridge,4013,310,43,20_1,20,773,395,E242,42,8,68, , ,40.613423,-74.035881,Lat/Lon geosupport, ,20Q4
32563,321963023,Demolition,Residential, ,5. Completed Construction,2020,2020,1.0,0.0,-1.0, , , , ,0.0,3,3253459,3061330057,9956,3 AVENUE,Residential: 1-2 Family Houses (J-3), ,FULL DEMOLITION OF EXISTING HOUSE.,2019-09-10,6/22/2020 0:00:00,2020-07-13,6/22/2020 0:00:00,R7A, , ,BR, , ,3.0,0.0, ,Private For-Profit: Corporation,360470056021001,30056021001,3005602,BK31,Bay Ridge,4013,310,43,20_1,20,773,395,E242,42,8,68, , ,40.613423,-74.035881,Lat/Lon geosupport, ,20Q4
32564,321963032,Demolition,Residential, ,5. Completed Construction,2020,2020,1.0,0.0,-1.0, , , , ,0.0,3,3253460,3061330057,9960,3 AVENUE,Residential: 1-2 Family Houses (J-3), ,FULL DEMOLITION OF EXISTING HOUSE.,2019-09-10,6/22/2020 0:00:00,2020-07-13,6/22/2020 0:00:00,R7A, , ,BR, , ,3.0,0.0, ,Private For-Profit: Corporation,360470056021001,30056021001,3005602,BK31,Bay Ridge,4013,310,43,20_1,20,773,395,E242,42,8,68, , ,40.613423,-74.035881,Lat/Lon geosupport, ,20Q4
32565,321963087,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,8.0,6.0, , , , ,0.0,3,3109262,3048840043,1513,NOSTRAND AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),VERTICAL ENLARGEMENT TO EXISTING 3 STORY AND CELLAR RESIDENTIAL BUILDING CONVERTING TO A 4 STORY AND PENTHOUSE 8 DWELLING UNITS,2019-08-08,6/23/2020 0:00:00,2020-06-26,,R6, , , , , ,3.0,4.0, ,Private For-Profit: Partnership,360470824004000,30824004000,3082400,BK95,Erasmus,4010,317,40,17_3,17,151,260,E248,41,15,67, , ,40.6492402126,-73.949139855,BIN DOB buildingfootprints, ,20Q4
32571,321963675,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,1.0,1.0, , , , ,0.0,3,3137206,3056280026,1258,47 STREET,Empty Site,Residential: 1-2 Family Houses (R-3),"NEW 4 STORY STORY, BASEMENT AND CELLAR BUILDING.",2019-06-06,6/22/2020 0:00:00,2020-12-10,,R6, , , , , ,0.0,5.0, ,Private For-Profit: Individual,360470222002003,30222002003,3022200,BK88,Borough Park,4014,312,44,15_1,15,97,220,E282,48,11,66, , ,40.6364591686,-73.9918954724,BIN DOB buildingfootprints, ,20Q4
32573,321963844,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,0.0,0.0, , , ,10,0.0,3,3428574,3051320070,21,DURYEA PLACE,Empty Site,"Residential: Hotels, Dormitories (R-1)",NEW 6-STORY TRANSIENT SHELTER FACILITY.,2019-06-27,10/20/2020 0:00:00,2020-10-20,,C4-2, , , , , ,0.0,6.0, ,Private For-Profit: Corporation,360470792003000,30792003000,3079200,BK95,Erasmus,4010,314,40,17_3,17,148,260,E248,41,15,70, , ,40.645584,-73.956938,Lat/Lon geosupport,otherb_prop/nclassa_prop,20Q4
32575,321963933,Alteration,Residential, ,3. Permitted for Construction, ,2020,56.0,58.0,2.0, , , , ,0.0,3,3116110,3050600001,1705,CATON AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),APPLICATION FILED HEREWITH TO DIVIDE APARTMENT ON 5TH &amp; 6TH FLOOR TO CREATE ADDITIONAL UNIT.,2019-06-06,1/16/2020 0:00:00,2020-11-04,,R7A, , , , , ,6.0,6.0, ,Private For-Profit: Corporation,360470508043002,30508043002,3050804,BK42,Flatbush,4015,314,40,17_3,17,768,268,L147,41,15,70, , ,40.6512537438,-73.9645491447,BIN DOB buildingfootprints, ,20Q4
32586,321965236,Demolition,Residential, ,3. Permitted for Construction, ,2020,2.0,0.0,-2.0, , , , ,0.0,3,3245821,3087260078,17,WEST END AVENUE,Residential: 3 or More Units (R-2), ,FULL DEMOLITION OF THE 4-STORY BUILDING,2019-06-11,2/3/2020 0:00:00,2020-02-03,,R6, , , , , ,4.0,0.0, ,Private For-Profit: Partnership,360470612001004,30612001004,3061200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,315,48,22_3,22,1,185,L169,43,8,61,1,1,40.5810877658,-73.9533712515,BIN DOB buildingfootprints, ,20Q4
32588,321965370,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3155004,3061000049,33,93 STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),FRONT AND REAR HORIZONTAL ENLARGEMENT TO THE EXISTING ONE FAMILY HOME,2019-06-11,1/23/2020 0:00:00,2020-09-08,,R4A, , ,BR, , ,2.0,2.0, ,Private For-Profit: Individual,360470052022001,30052022001,3005202,BK31,Bay Ridge,4013,310,43,20_1,20,772,395,E242,42,8,68, , ,40.6190517655,-74.0385882011,BIN DOB buildingfootprints, ,20Q4
32592,321965673,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,3.0,3.0, , , , ,0.0,3,3125707,3053630026,1544,41 STREET,Empty Site,Residential: 3 or More Units (R-2),"PROPOSED NEW 4 STORY AND CELLAR BUILDING, 3 UNIT BUILDING.",2019-11-15,3/25/2020 0:00:00,2020-03-25,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Individual,360470230001002,30230001002,3023000,BK88,Borough Park,4014,312,39,20_3,20,229,219,L148,48,11,66, , ,40.6360292169,-73.9820944827,BIN DOB buildingfootprints, ,20Q4
32593,321965682,Alteration,Residential, ,3. Permitted for Construction, ,2020,3.0,1.0,-2.0, , , , ,0.0,3,3139671,3056820016,1130,55 STREET,Residential: 3 or More Units (J-0),Residential: 1-2 Family Houses (R-3),INTERIOR RENOVATION TO EXISTING 3 FAMILY RESIDENCE. CONVERT FROM 3 TO 1 FAMILY. MECHANICAL PLANS FILED HEREWITH.,2019-12-12,2/26/2020 0:00:00,2020-02-26,,R5, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470216002000,30216002000,3021600,BK88,Borough Park,4014,312,44,20_2,20,228,219,E247,40,8,66, , ,40.6336905841,-73.9993910195,BIN DOB buildingfootprints, ,20Q4
32594,321966057,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3167717,3064020011,149,BAY   17 STREET,Commercial: Not Specified (COM),Commercial: Retail (M),SECOND STORY ADDITION TO THE EXISTING ONE STORY BUILDING PLUMBING AND PARTITION WORK AS PER PLANS.,2019-06-12,6/11/2020 0:00:00,2020-08-31,,R5, , , , , ,1.0,2.0, ,Private For-Profit: Corporation,360470178002007,30178002007,3017800,BK27,Bath Beach,4017,311,43,20_2,20,819,217,E243,42,8,62, , ,40.6045105424,-74.0063690431,BIN DOB buildingfootprints, ,20Q4
32595,321966253,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,2.0,1.0,0,0,0,0,0.0,3,3039180,3014570083,1675,PROSPECT PLACE,"Residential: Hotels, Dormitories (J-1)",Residential: 3 or More Units (R-2),CONVERSION OF EXISTING ONE FAMILY DWELLING TO TWO FAMILY DWELLING WORK INCLUDED CONSTRUCTION AND PLUMBING.,2019-06-12,1/21/2020 0:00:00,2020-01-21,,R6, , , , , ,3.0,3.0, ,Private For-Profit: Individual,360470363002000,30363002000,3036300,BK79,Ocean Hill,4007,316,41,23_2,23,47,248,L176,44,15,73, , ,40.6729154948,-73.9209017005,BIN DOB buildingfootprints,hotel_init/nhotel_prop/notherb_init/notherb_prop/nclassa_init,20Q4
